start_time,total_flight_time,total_flight_distance,is_collided,safety_ratio_agent,average_planning_time,min_planning_time,max_planning_time,initial_traj_planning_time,obstacle_prediction_time,goal_planning_time,lsc_generation_time,sfc_generation_time,traj_optimization_time,mission_file_name,world_file_name,planner_mode,prediction_mode,initial_traj_mode,slack_mode,goal_mode,world_dimension,dt,horizon,N_constraint_segments
1688502640.710777865,51.2,323.003,0,1.01727,0.0118633,0.0052256,0.0553867,9.34862e-07,4.45423e-05,0.00297744,8.7648e-05,0.000613524,0.00812195,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_40_24.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,1,-1
1688502767.647350109,46.4,336.508,0,1.00273,0.0114105,0.00562447,0.037292,9.38279e-07,4.41624e-05,0.00245259,8.74431e-05,0.000602506,0.00820554,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_40_25.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,1,-1
1688502878.577080724,31.6,271.166,0,1.03135,0.0112984,0.00543883,0.0429153,9.55317e-07,4.43751e-05,0.00247845,8.82242e-05,0.000624909,0.00804445,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_40_26.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,1,-1
1688502954.011354359,35.8,260.447,0,1.01971,0.0108209,0.00564984,0.0500774,9.16852e-07,4.36653e-05,0.00232376,8.71237e-05,0.000587338,0.00776149,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_40_27.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,1,-1
1688503035.759884391,36.6,288.754,0,1.04078,0.0112726,0.00560535,0.0419832,9.20553e-07,4.40215e-05,0.0023694,8.72009e-05,0.000597791,0.00815663,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_40_28.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,1,-1
1688503122.603641069,40.6,310.909,0,1.01025,0.0114218,0.00591282,0.047783,9.17983e-07,4.34842e-05,0.00279864,8.70923e-05,0.000616275,0.00785873,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_40_29.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,1,-1
1688503220.072356188,39,304.52,0,1.00247,0.0110161,0.00530245,0.0372885,9.15174e-07,4.37115e-05,0.00236781,8.71601e-05,0.000602144,0.00789772,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_40_3.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,1,-1
1688503310.493878567,49.2,315.756,0,1.02745,0.0111252,0.0056667,0.0509725,9.06046e-07,4.31042e-05,0.00246405,8.7096e-05,0.000604391,0.00790918,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_40_4.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,1,-1
1688503425.273912347,40,285.62,0,1.01524,0.0111639,0.00578549,0.0392985,9.52921e-07,4.34939e-05,0.00235862,8.67171e-05,0.000598257,0.00805933,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_40_5.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,1,-1
1688503519.152424667,43.4,288.873,0,1.01412,0.0113693,0.00579079,0.049408,9.05424e-07,4.35713e-05,0.0024434,8.68736e-05,0.000610928,0.00816703,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_40_6.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,1,-1
1688503622.651069282,39.6,314.338,0,1.00891,0.0115065,0.00558879,0.0576027,9.12235e-07,4.36174e-05,0.00267701,8.66174e-05,0.000611737,0.0080701,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_40_7.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,1,-1
1688503718.399815801,42.4,297.13,0,1.02924,0.0111034,0.00549167,0.0522566,8.76278e-07,4.24396e-05,0.0025782,8.58517e-05,0.000588432,0.00779188,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_40_8.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,1,-1
1688503817.371154658,36.6,261.217,0,1.00194,0.010444,0.0050375,0.061327,8.52434e-07,4.14347e-05,0.00224659,8.43956e-05,0.000570157,0.00748544,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_40_9.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,1,-1
