id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size
0,0,4.37569,-3.05246,0.506998,0,0,0,0,0,0,0.0126001,3.5122,5,0.1,1,0,-0.823285,0.377761,0.603997,0,0,0,0,0,0,0.0102327,1.22802,5,0.1,2,0,4.32267,-0.467472,0.592351,0,0,0,0,0,0,0.0210332,3.5122,5,0.1,3,0,-4.09347,3.06143,0.660987,0,0,0,0,0,0,0.0114449,3.5122,5,0.1,4,0,1.76131,-4.20402,0.581158,0,0,0,0,0,0,0.0248787,3.51219,5,0.1,5,0,1.52427,-2.93406,0.651494,0,0,0,0,0,0,0.00770654,1.15826,5,0.1,6,0,3.59077,4.3196,0.612413,0,0,0,0,0,0,0.015736,2.22583,5,0.1,7,0,-1.24844,-0.424642,0.635151,0,0,0,0,0,0,0.0227988,3.51219,5,0.1,8,0,0.932989,4.03178,0.585762,0,0,0,0,0,0,0.012407,3.48167,5,0.1,9,0,-3.9273,0.535381,0.596988,0,0,0,0,0,0,0.0154792,1.36779,5,0.1
0,0.1,4.37533,-3.05041,0.506979,-0.0103697,0.0583511,-0.000549573,-0.184357,1.03737,-0.00976399,0.0126001,3.5122,5,0.1,1,0.1,-0.822582,0.378776,0.603993,0.0199521,0.0288115,-0.000118278,0.354707,0.512205,-0.00210851,0.0102327,1.22802,5,0.1,2,0.1,4.322,-0.465494,0.592355,-0.0189871,0.0561444,0.000123866,-0.337541,0.998123,0.00220537,0.0210332,3.5122,5,0.1,3,0.1,-4.09146,3.06086,0.660945,0.0570543,-0.0160001,-0.00120243,1.01432,-0.284463,-0.0213794,0.0114449,3.5122,5,0.1,4,0.1,1.76092,-4.20196,0.581171,-0.0108855,0.0582591,0.000365358,-0.193529,1.03575,0.00649318,0.0248787,3.51219,5,0.1,5,0.1,1.52409,-2.93288,0.65144,-0.00516418,0.0336073,-0.00152607,-0.0918135,0.597447,-0.0271276,0.00770654,1.15826,5,0.1,6,0.1,3.58984,4.31822,0.6124,-0.026397,-0.0391059,-0.000367872,-0.469282,-0.695199,-0.00654161,0.015736,2.22583,5,0.1,7,0.1,-1.24734,-0.422867,0.635116,0.0311883,0.0503885,-0.000997912,0.554465,0.895795,-0.0177436,0.0227988,3.51219,5,0.1,8,0.1,0.932485,4.02976,0.585777,-0.014313,-0.0572458,0.000421796,-0.254449,-1.01775,0.00749901,0.012407,3.48167,5,0.1,9,0.1,-3.92633,0.534509,0.596992,0.0274796,-0.0247559,8.93138e-05,0.488505,-0.440098,0.0015907,0.0154792,1.36779,5,0.1
0,0.2,4.37322,-3.03856,0.506867,-0.0327706,0.184417,-0.00173748,-0.246048,1.38319,-0.0130236,0.0111876,2.92579,5,0.1,1,0.2,-0.818529,0.384628,0.603969,0.0630587,0.0910588,-0.000374019,0.472963,0.682935,-0.00280142,0.0113811,1.00753,5,0.1,2,0.2,4.31814,-0.45409,0.59238,-0.06001,0.177444,0.000391901,-0.450134,1.33084,0.00292063,0.0228379,2.92579,5,0.1,3,0.2,-4.07987,3.05761,0.660701,0.180316,-0.0505686,-0.00380129,1.35255,-0.379205,-0.028491,0.0118734,2.92579,5,0.1,4,0.2,1.75871,-4.19013,0.581245,-0.0344038,0.184119,0.00115484,-0.258029,1.38116,0.00867248,0.0271691,2.92578,5,0.1,5,0.2,1.52304,-2.92605,0.65113,-0.0163198,0.106215,-0.00482351,-0.122488,0.796556,-0.0361502,0.00774517,0.950293,5,0.1,6,0.2,3.58447,4.31028,0.612326,-0.0834286,-0.123596,-0.00116229,-0.62573,-0.926971,-0.00873208,0.0139205,1.82617,5,0.1,7,0.2,-1.24101,-0.412631,0.634913,0.0985742,0.159252,-0.00315458,0.739217,1.19439,-0.023663,0.02601,2.9258,5,0.1,8,0.2,0.929578,4.01813,0.585863,-0.0452369,-0.180924,0.00133365,-0.33924,-1.35708,0.0100136,0.00976356,2.85653,5,0.1,9,0.2,-3.92075,0.52948,0.59701,0.0868499,-0.0782415,0.000281632,0.65136,-0.586778,0.00211596,0.0194445,1.1222,5,0.1
0,0.3,4.36858,-3.01242,0.506621,-0.061059,0.343494,-0.00323541,-0.302255,1.69989,-0.0160038,0.0111876,2.92579,5,0.1,1,0.3,-0.809598,0.397525,0.603916,0.117312,0.169399,-0.000695605,0.578739,0.835694,-0.00343099,0.0113811,1.00753,5,0.1,2,0.3,4.30964,-0.428944,0.592436,-0.111779,0.330502,0.000728481,-0.553161,1.63556,0.00359863,0.0228379,2.92579,5,0.1,3,0.3,-4.05432,3.05045,0.660162,0.335867,-0.0941832,-0.00707842,1.66216,-0.466064,-0.0350252,0.0118734,2.92579,5,0.1,4,0.3,1.75384,-4.16404,0.581409,-0.0640796,0.342956,0.00215173,-0.317119,1.69724,0.0106543,0.0271691,2.92578,5,0.1,5,0.3,1.52073,-2.91101,0.650447,-0.0303678,0.197592,-0.00897106,-0.149846,0.974759,-0.044249,0.00774517,0.950293,5,0.1,6,0.3,3.57266,4.29278,0.612161,-0.155206,-0.229929,-0.00216356,-0.765666,-1.13431,-0.010673,0.0139205,1.82617,5,0.1,7,0.3,-1.22704,-0.390064,0.634466,0.183593,0.296618,-0.0058759,0.908524,1.46788,-0.0290796,0.02601,2.9258,5,0.1,8,0.3,0.923171,3.99251,0.586051,-0.0841524,-0.336591,0.00248179,-0.415139,-1.66056,0.0122488,0.00976356,2.85653,5,0.1,9,0.3,-3.90845,0.518399,0.59705,0.161568,-0.145552,0.000524521,0.797078,-0.718042,0.0025928,0.0194445,1.1222,5,0.1
0,0.4,4.36098,-2.96972,0.506219,-0.0901818,0.507271,-0.00477731,-0.267029,1.50299,-0.0141561,0.0106249,2.51275,5,0.1,1,0.4,-0.795025,0.418569,0.603829,0.17301,0.249825,-0.00102669,0.510544,0.73728,-0.00301003,0.0117385,0.797166,5,0.1,2,0.4,4.29574,-0.387855,0.592526,-0.165069,0.488084,0.00107586,-0.489235,1.44613,0.00315905,0.0225812,2.51007,5,0.1,3,0.4,-4.01256,3.03874,0.659282,0.496006,-0.139087,-0.0104532,1.46973,-0.412107,-0.0309646,0.0126829,2.51044,5,0.1,4,0.4,1.74587,-4.1214,0.581676,-0.0946343,0.506485,0.00317842,-0.28038,1.50061,0.00938773,0.0312434,2.51251,5,0.1,5,0.4,1.51695,-2.88646,0.649333,-0.0447869,0.291401,-0.0132293,-0.132203,0.859976,-0.0390708,0.00661245,0.751884,5,0.1,6,0.4,3.55338,4.26421,0.611892,-0.228894,-0.339091,-0.00319183,-0.67544,-1.00064,-0.00938773,0.0121951,1.44489,5,0.1,7,0.4,-1.20421,-0.353187,0.633736,0.271127,0.438045,-0.00867695,0.803351,1.29785,-0.0257194,0.0241428,2.51008,5,0.1,8,0.4,0.912717,3.95069,0.58636,-0.124106,-0.496399,0.00365973,-0.366241,-1.46496,0.0108182,0.0100258,2.26011,5,0.1,9,0.4,-3.88838,0.500317,0.597115,0.238276,-0.214656,0.00077337,0.703216,-0.633478,0.00229478,0.0174709,0.887902,5,0.1
0,0.5,4.35059,-2.91143,0.505668,-0.11766,0.657171,-0.0062339,-0.26843,1.42436,-0.0142306,0.0106249,2.51275,5,0.1,1,0.5,-0.775124,0.447305,0.603711,0.22481,0.32463,-0.00133263,0.500049,0.722108,-0.00296161,0.0117385,0.797166,5,0.1,2,0.5,4.27672,-0.331611,0.59265,-0.215409,0.636895,0.00140173,-0.491649,1.45356,0.00318512,0.0225812,2.51007,5,0.1,3,0.5,-3.95546,3.02271,0.658077,0.645461,-0.181496,-0.0136398,1.44492,-0.414237,-0.0311285,0.0126829,2.51044,5,0.1,4,0.5,1.73497,-4.06319,0.582042,-0.123486,0.656348,0.00414494,-0.281833,1.4258,0.00944734,0.0312434,2.51251,5,0.1,5,0.5,1.5118,-2.85295,0.647811,-0.0581991,0.378655,-0.017193,-0.129461,0.842288,-0.0382587,0.00661245,0.751884,5,0.1,6,0.5,3.52705,4.22521,0.611525,-0.297425,-0.440616,-0.00414476,-0.661582,-0.980049,-0.00920147,0.0121951,1.44489,5,0.1,7,0.5,-1.17297,-0.302709,0.632736,0.353794,0.571598,-0.0113233,0.807486,1.30453,-0.0258423,0.0241428,2.51008,5,0.1,8,0.5,0.898441,3.89359,0.586781,-0.161265,-0.645033,0.00475692,-0.358716,-1.4348,0.0105835,0.0100258,2.26011,5,0.1,9,0.5,-3.86097,0.475626,0.597204,0.309624,-0.27893,0.00100601,0.688761,-0.620453,0.00224262,0.0174709,0.887902,5,0.1
0,0.6,4.33758,-2.83919,0.504978,-0.141454,0.780368,-0.00749528,-0.197411,0.992417,-0.0104308,0.0182169,2.31989,5,0.1,1,0.6,-0.750332,0.483107,0.603564,0.268692,0.387998,-0.00159293,0.359714,0.519484,-0.00211596,0.0182573,0.593472,5,0.1,2,0.6,4.25289,-0.261157,0.592805,-0.258982,0.765728,0.00168532,-0.361681,1.06896,0.00232458,0.019097,2.28654,5,0.1,3,0.6,-3.88423,3.00263,0.656569,0.772387,-0.218207,-0.0164002,1.04201,-0.304699,-0.0228584,0.0136856,2.30016,5,0.1,4,0.6,1.72131,-3.99102,0.582501,-0.148466,0.779802,0.00498295,-0.207245,0.995994,0.00694394,0.032374,2.31842,5,0.1,5,0.6,1.50538,-2.81119,0.645915,-0.0695586,0.452572,-0.0205502,-0.0931025,0.605941,-0.0275075,0.00693992,0.559761,5,0.1,6,0.6,3.49425,4.17662,0.611068,-0.355476,-0.526631,-0.00495166,-0.476003,-0.704765,-0.00664592,0.014181,1.07568,5,0.1,7,0.6,-1.13383,-0.239479,0.631483,0.425363,0.687223,-0.0136137,0.593901,0.959352,-0.0190139,0.0404396,1.89062,5,0.1,8,0.6,0.880657,3.82246,0.587305,-0.192745,-0.770944,0.00568628,-0.258058,-1.03211,0.00759959,0.0123293,1.7269,5,0.1,9,0.6,-3.82683,0.444865,0.597315,0.370061,-0.333377,0.00120252,0.495553,-0.446364,0.00163913,0.0157618,0.661023,5,0.1
0,0.7,4.32243,-2.75724,0.504187,-0.161269,0.848587,-0.00821818,-0.186414,0.394329,-0.00408292,0.0182169,2.31989,5,0.1,1,0.7,-0.721695,0.524459,0.603395,0.303226,0.43787,-0.00179652,0.311229,0.449453,-0.00184029,0.0182573,0.593472,5,0.1,2,0.7,4.22516,-0.180227,0.592986,-0.295283,0.843082,0.00191964,-0.341475,0.48413,0.00221282,0.019097,2.28654,5,0.1,3,0.7,-3.80282,2.97927,0.654813,0.845819,-0.24879,-0.0186956,0.44179,-0.287682,-0.0215992,0.0136856,2.30016,5,0.1,4,0.7,1.70541,-3.90911,0.583034,-0.169266,0.848392,0.00568014,-0.195637,0.397682,0.00656396,0.032374,2.31842,5,0.1,5,0.7,1.49797,-2.76295,0.643725,-0.078496,0.510744,-0.0231911,-0.0805408,0.524253,-0.0238009,0.00693992,0.559761,5,0.1,6,0.7,3.45636,4.12049,0.61054,-0.401173,-0.594295,-0.00558961,-0.411808,-0.609785,-0.0057444,0.014181,1.07568,5,0.1,7,0.7,-1.08836,-0.166086,0.630028,0.482944,0.778088,-0.015457,0.524662,0.80903,-0.0167936,0.0404396,1.89062,5,0.1,8,0.7,0.860114,3.74119,0.587911,-0.21752,-0.844769,0.00641588,-0.223272,-0.455052,0.00657141,0.0123293,1.7269,5,0.1,9,0.7,-3.78739,0.409334,0.597443,0.417634,-0.376229,0.00135945,0.428721,-0.386188,0.00141189,0.0157618,0.661023,5,0.1
0,0.8,4.30547,-2.67118,0.503355,-0.17662,0.866026,-0.00832826,-0.111818,0,0.00178814,0.0105211,2.24801,5,0.1,1,0.8,-0.690028,0.570187,0.603207,0.327626,0.473107,-0.00194013,0.163466,0.236034,-0.000983477,0.0113278,0.419024,5,0.1,2,0.8,4.19411,-0.0943713,0.593187,-0.323403,0.865956,0.00210106,-0.20504,0.00138402,0.00137091,0.0222881,2.1937,5,0.1,3,0.8,-3.71686,2.95311,0.652847,0.866026,-0.272477,-0.0204742,0,-0.172853,-0.012964,0.0195902,2.21555,5,0.1,4,0.8,1.68761,-3.82306,0.583631,-0.185373,0.866026,0.00622123,-0.117481,0,0.0039041,0.0400332,2.24563,5,0.1,5,0.8,1.48977,-2.70961,0.641303,-0.0848114,0.55185,-0.0250563,-0.0422597,0.275254,-0.012517,0.0103147,0.395222,5,0.1,6,0.8,3.41447,4.05843,0.609957,-0.433463,-0.642121,-0.00604093,-0.216246,-0.319958,-0.00301003,0.0126991,0.682906,5,0.1,7,0.8,-1.03778,-0.0848055,0.628409,0.524732,0.84096,-0.0167951,0.288665,0.416666,-0.00920892,0.0232391,1.3634,5,0.1,8,0.8,0.837398,3.65527,0.588581,-0.235026,-0.866026,0.00693053,-0.117242,0,0.00345707,0.00916758,1.26982,5,0.1,9,0.8,-3.74377,0.370044,0.597585,0.451249,-0.406507,0.00146925,0.225067,-0.202805,0.000745058,0.0129785,0.466714,5,0.1
0,0.9,4.28723,-2.58458,0.502544,-0.188185,0.866026,-0.00779005,-0.107586,0,0.00847504,0.0105211,2.24801,5,0.1,1,0.9,-0.656486,0.618623,0.603008,0.342438,0.494495,-0.00202926,0.11709,0.169065,-0.00071153,0.0113278,0.419024,5,0.1,2,0.9,4.16071,-0.00777145,0.593405,-0.344608,0.866021,0.00224244,-0.197202,0.000171214,0.0013113,0.0222881,2.1937,5,0.1,3,0.9,-3.63026,2.92496,0.650732,0.866026,-0.290327,-0.0218141,0,-0.165835,-0.0124536,0.0195902,2.21555,5,0.1,4,0.9,1.66846,-3.73646,0.584274,-0.197494,0.866026,0.00662506,-0.112489,0,0.00375509,0.0400332,2.24563,5,0.1,5,0.9,1.48109,-2.65312,0.638737,-0.088641,0.576792,-0.0261905,-0.0302643,0.197157,-0.00896305,0.0103147,0.395222,5,0.1,6,0.9,3.37076,3.99269,0.609338,-0.433912,-0.671119,-0.00631353,0.185475,-0.229239,-0.00215694,0.0126991,0.682906,5,0.1,7,0.9,-0.983966,0.000678973,0.626686,0.549861,0.86294,-0.0176162,0.190746,0.0653872,-0.00643358,0.0232391,1.3634,5,0.1,8,0.9,0.813336,3.56867,0.589291,-0.24565,-0.865689,0.00724373,-0.0839867,0.0134557,0.00246987,0.00916758,1.26982,5,0.1,9,0.9,-3.69757,0.328425,0.597735,0.471644,-0.424884,0.00153631,0.161216,-0.14527,0.000528991,0.0129785,0.466714,5,0.1
