id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size,id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size
0,0,0.893182,-1.57647,0.586357,0,0,0,0,0,0,0.0267637,3.03689,5,0.1,1,0,-1.41129,-3.911,0.631404,0,0,0,0,0,0,0.0134701,3.51219,5,0.1,2,0,-1.5191,1.4774,0.618205,0,0,0,0,0,0,0.0146165,3.51219,5,0.1,3,0,2.14764,4.24506,0.627517,0,0,0,0,0,0,0.0138032,3.5122,5,0.1,4,0,1.6688,3.03662,0.553339,0,0,0,0,0,0,0.0148295,1.84954,5,0.1,5,0,1.92301,-2.20938,0.5671,0,0,0,0,0,0,0.00942476,0.607096,5,0.1,6,0,-4.05404,-3.41745,0.653054,0,0,0,0,0,0,0.0114437,3.51219,5,0.1,7,0,-3.51866,-0.656869,0.552126,0,0,0,0,0,0,0.0117982,3.5122,5,0.1,8,0,0.213364,3.5995,0.654617,0,0,0,0,0,0,0.00932377,0.567206,5,0.1,9,0,-3.71199,-1.69636,0.521401,0,0,0,0,0,0,0.0449658,1.19193,5,0.1
0,0.1,0.891937,-1.57498,0.586371,-0.0353589,0.0422718,0.000404194,-0.628602,0.751503,0.00718981,0.0267637,3.03689,5,0.1,1,0.1,-1.41153,-3.90893,0.631373,-0.00665858,0.058886,-0.000876002,-0.118375,1.04688,-0.0155717,0.0134701,3.51219,5,0.1,2,0.1,-1.51707,1.47788,0.618187,0.0576289,0.0138314,-0.000532903,1.02452,0.245892,-0.00947714,0.0146165,3.51219,5,0.1,3,0.1,2.14629,4.24347,0.627495,-0.0384074,-0.0451349,-0.000622496,-0.682816,-0.802428,-0.0110641,0.0138032,3.5122,5,0.1,4,0.1,1.66753,3.0358,0.553388,-0.0361184,-0.023311,0.00138283,-0.642098,-0.414416,0.0245795,0.0148295,1.84954,5,0.1,5,0.1,1.92226,-2.20895,0.567134,-0.0214256,0.0121318,0.000975095,-0.380903,0.215679,0.0173301,0.00942476,0.607096,5,0.1,6,0.1,-4.05195,-3.41753,0.653023,0.0592135,-0.00239611,-0.000871159,1.05271,-0.0425875,-0.0154898,0.0114437,3.51219,5,0.1,7,0.1,-3.51658,-0.65708,0.552138,0.0589646,-0.00597779,0.000335462,1.04827,-0.106268,0.00596792,0.0117982,3.5122,5,0.1,8,0.1,0.212671,3.59997,0.65456,-0.0196582,0.0133503,-0.00161836,-0.349479,0.237361,-0.0287704,0.00932377,0.567206,5,0.1,9,0.1,-3.71078,-1.69631,0.521326,0.0344351,0.0013737,-0.00211606,0.61217,0.0244305,-0.0376143,0.0449658,1.19193,5,0.1
0,0.2,0.884754,-1.56639,0.586453,-0.111753,0.133604,0.00127703,-0.838101,1.00195,0.00959635,0.030554,2.49162,5,0.1,1,0.2,-1.41288,-3.89697,0.631195,-0.0210464,0.18611,-0.00276864,-0.157773,1.39582,-0.0207722,0.0157927,2.9258,5,0.1,2,0.2,-1.50536,1.48069,0.618078,0.182137,0.043714,-0.00168383,1.36602,0.327885,-0.0126362,0.0196254,2.92579,5,0.1,3,0.2,2.13849,4.2343,0.627368,-0.121385,-0.142646,-0.00196844,-0.910401,-1.07002,-0.0147223,0.0120318,2.92579,5,0.1,4,0.2,1.66019,3.03107,0.553669,-0.114149,-0.0736713,0.00437051,-0.856161,-0.552654,0.0327826,0.0111648,1.51745,5,0.1,5,0.2,1.9179,-2.20648,0.567332,-0.0677168,0.0383437,0.00308156,-0.507832,0.287533,0.0230968,0.0150859,0.498093,5,0.1,6,0.2,-4.03993,-3.41802,0.652846,0.187135,-0.00756979,-0.00275373,1.40381,-0.0568628,-0.020653,0.0099651,2.92578,5,0.1,7,0.2,-3.50461,-0.658294,0.552206,0.18636,-0.0188932,0.00106096,1.39761,-0.14168,0.00792742,0.0135845,2.9258,5,0.1,8,0.2,0.208678,3.60268,0.654231,-0.0621296,0.0421882,-0.00511557,-0.465974,0.31662,-0.0383556,0.0104589,0.465361,5,0.1,9,0.2,-3.70378,-1.69603,0.520896,0.108832,0.0043422,-0.00668764,0.816226,0.0325441,-0.0501573,0.040736,0.977914,5,0.1
0,0.3,0.868927,-1.54747,0.586634,-0.207893,0.248541,0.00237729,-1.02559,1.22611,0.0117347,0.030554,2.49162,5,0.1,1,0.3,-1.41586,-3.87059,0.630803,-0.0391938,0.346642,-0.00515739,-0.193939,1.71542,-0.025522,0.0157927,2.9258,5,0.1,2,0.3,-1.47955,1.48689,0.61784,0.339242,0.0814231,-0.00313697,1.67881,0.40295,-0.0155233,0.0196254,2.92579,5,0.1,3,0.3,2.12129,4.21409,0.627089,-0.226089,-0.265704,-0.00366261,-1.11884,-1.31494,-0.0181161,0.0120318,2.92579,5,0.1,4,0.3,1.64402,3.02063,0.554288,-0.212359,-0.137063,0.00813063,-1.04765,-0.67623,0.0401065,0.0111648,1.51745,5,0.1,5,0.3,1.90831,-2.20105,0.567768,-0.125972,0.0713278,0.00573145,-0.621453,0.351861,0.0282712,0.0150859,0.498093,5,0.1,6,0.3,-4.01341,-3.41909,0.652456,0.348577,-0.0141066,-0.00512907,1.72512,-0.0698417,-0.0253804,0.0099651,2.92578,5,0.1,7,0.3,-3.4782,-0.660971,0.552356,0.347101,-0.0351882,0.00197375,1.71767,-0.174135,0.00975654,0.0135845,2.9258,5,0.1,8,0.3,0.199879,3.60866,0.653506,-0.115582,0.0785016,-0.00951588,-0.570202,0.387341,-0.0469387,0.0104589,0.465361,5,0.1,9,0.3,-3.68837,-1.69541,0.519949,0.202462,0.00807624,-0.0124413,0.99881,0.0398383,-0.0613742,0.040736,0.977914,5,0.1
0,0.4,0.843101,-1.5166,0.58693,-0.306594,0.366539,0.00350773,-0.904828,1.08176,0.0103116,0.0257619,1.9714,5,0.1,1,0.4,-1.42073,-3.8275,0.630162,-0.0578821,0.51192,-0.00761747,-0.171423,1.51682,-0.0225306,0.0149679,2.51433,5,0.1,2,0.4,-1.43738,1.49701,0.61745,0.500989,0.120246,-0.00463277,1.48445,0.356257,-0.0137091,0.0130513,2.44481,5,0.1,3,0.4,2.09318,4.18105,0.626634,-0.333887,-0.392389,-0.00540912,-0.989318,-1.16277,-0.0160038,0.0167483,2.51006,5,0.1,4,0.4,1.61764,3.0036,0.555298,-0.313181,-0.202137,0.011991,-0.924349,-0.596642,0.0354052,0.0150266,1.20062,5,0.1,5,0.4,1.89266,-2.19219,0.56848,-0.185779,0.10519,0.00845194,-0.548303,0.310421,0.0249743,0.0193869,0.394098,5,0.1,6,0.4,-3.97007,-3.42085,0.651819,0.514781,-0.0208318,-0.00757426,1.52528,-0.0617504,-0.0224411,0.00938572,2.51544,5,0.1,7,0.4,-3.43505,-0.665346,0.552601,0.512594,-0.0519648,0.00291467,1.51885,-0.153959,0.00864267,0.0132249,2.5146,5,0.1,8,0.4,0.18552,3.61841,0.652324,-0.170457,0.115776,-0.0140339,-0.503048,0.341654,-0.0413954,0.0113764,0.368196,5,0.1,9,0.4,-3.66322,-1.69441,0.518404,0.298584,0.011909,-0.0183478,0.881195,0.0351667,-0.054121,0.0540665,1.32193,5,0.1
0,0.5,0.807834,-1.47443,0.587333,-0.398398,0.476294,0.00455473,-0.886213,1.0595,0.0101104,0.0257619,1.9714,5,0.1,1,0.5,-1.4274,-3.76871,0.629284,-0.0755247,0.66201,-0.00993665,-0.172347,1.41589,-0.0226572,0.0149679,2.51433,5,0.1,2,0.5,-1.38068,1.51085,0.616916,0.624528,0.156499,-0.00602808,0.973701,0.350848,-0.0135079,0.0130513,2.44481,5,0.1,3,0.5,2.0547,4.13584,0.626011,-0.43569,-0.512037,-0.00705682,-0.994354,-1.16864,-0.0161007,0.0167483,2.51006,5,0.1,4,0.5,1.58162,2.98035,0.556677,-0.406963,-0.262669,0.0155828,-0.90529,-0.584304,0.0346638,0.0150266,1.20062,5,0.1,5,0.5,1.87129,-2.18009,0.569453,-0.241409,0.136686,0.0109855,-0.537015,0.304058,0.0244528,0.0193869,0.394098,5,0.1,6,0.5,-3.91098,-3.42325,0.650946,0.664984,-0.0271849,-0.00988347,1.41065,-0.0620484,-0.0225566,0.00938572,2.51544,5,0.1,7,0.5,-3.37619,-0.671334,0.552937,0.662712,-0.067808,0.00380417,1.41467,-0.15476,0.0086911,0.0132249,2.5146,5,0.1,8,0.5,0.165913,3.63173,0.65071,-0.221497,0.150438,-0.0182345,-0.492698,0.334591,-0.0405572,0.0113764,0.368196,5,0.1,9,0.5,-3.62856,-1.69304,0.51631,0.396879,0.0154765,-0.0233649,1.02112,0.034444,-0.0445805,0.0540665,1.32193,5,0.1
0,0.6,0.763898,-1.42191,0.587835,-0.476168,0.569269,0.0054419,-0.637501,0.762224,0.00730157,0.0227198,1.46766,5,0.1,1,0.6,-1.43576,-3.69606,0.628185,-0.0907987,0.783664,-0.0119463,-0.126839,0.972033,-0.0166297,0.0174678,2.077,5,0.1,2,0.6,-1.31428,1.52813,0.616251,0.69401,0.187358,-0.00721514,0.411332,0.253618,-0.00980496,0.0122557,2.19811,5,0.1,3,0.6,2.00651,4.0792,0.62523,-0.523826,-0.615621,-0.00848472,-0.73123,-0.859261,-0.0118315,0.0122728,2.21912,5,0.1,4,0.6,1.53674,2.95138,0.558396,-0.486407,-0.313944,0.018625,-0.651181,-0.420332,0.0249445,0.0153779,0.893819,5,0.1,5,0.6,1.84467,-2.16502,0.570664,-0.288534,0.163364,0.0131309,-0.386357,0.218868,0.0175834,0.0104494,0.293397,5,0.1,6,0.6,-3.83807,-3.42626,0.649852,0.785697,-0.0326812,-0.0118837,0.959277,-0.0456572,-0.0165701,0.0118286,2.33406,5,0.1,7,0.6,-3.30348,-0.678835,0.553358,0.784141,-0.0815243,0.00457466,0.969052,-0.113815,0.0063777,0.0121712,2.32991,5,0.1,8,0.6,0.141486,3.64832,0.648699,-0.264733,0.179803,-0.0217929,-0.354431,0.240564,-0.0291765,0.0134983,0.274111,5,0.1,9,0.6,-3.58397,-1.69133,0.513777,0.491822,0.0185013,-0.026992,0.831723,0.0247359,-0.0268817,0.0400275,1.04595,5,0.1
0,0.7,0.713148,-1.36123,0.588415,-0.537371,0.642445,0.00614282,-0.55157,0.659451,0.00631809,0.0227198,1.46766,5,0.1,1,0.7,-1.44547,-3.61389,0.626907,-0.103221,0.849696,-0.0135761,-0.114255,0.374705,-0.014998,0.0174678,2.077,5,0.1,2,0.7,-1.24429,1.54811,0.615481,0.692681,0.211755,-0.00815764,-0.371866,0.220373,-0.00850856,0.0122557,2.19811,5,0.1,3,0.7,1.95042,4.01328,0.624322,-0.597229,-0.701875,-0.00967328,-0.690512,-0.811428,-0.0111833,0.0122728,2.21912,5,0.1,4,0.7,1.4849,2.91792,0.560381,-0.548922,-0.354296,0.0210192,-0.563391,-0.363633,0.0215769,0.0153779,0.893819,5,0.1,5,0.7,1.81392,-2.14761,0.572064,-0.325625,0.184374,0.0148187,-0.334255,0.189334,0.0152104,0.0104494,0.293397,5,0.1,6,0.7,-3.75577,-3.42975,0.64858,0.850435,-0.0372618,-0.0135469,0.36265,-0.0430942,-0.0156499,0.0118286,2.33406,5,0.1,7,0.7,-3.22127,-0.687564,0.553848,0.849897,-0.0929474,0.00521513,0.371873,-0.107441,0.00602379,0.0121712,2.32991,5,0.1,8,0.7,0.113271,3.66748,0.646377,-0.29876,0.202899,-0.0245942,-0.306653,0.208154,-0.02525,0.0134983,0.274111,5,0.1,9,0.7,-3.53104,-1.68936,0.511004,0.562126,0.0208769,-0.0279374,0.555381,0.021413,0.00610203,0.0400275,1.04595,5,0.1
0,0.8,0.65703,-1.29414,0.589057,-0.580616,0.694147,0.00663847,-0.289619,0.346303,0.00330806,0.040575,1.03625,5,0.1,1,0.8,-1.45629,-3.52779,0.625484,-0.112414,0.866026,-0.014782,-0.0646114,0,-0.00849366,0.0148437,1.6168,5,0.1,2,0.8,-1.17773,1.57024,0.614629,0.631338,0.229096,-0.00882745,-0.804007,0.116944,-0.00452995,0.0118894,1.98201,5,0.1,3,0.8,1.88762,3.93948,0.623305,-0.654092,-0.768697,-0.0105947,-0.414789,-0.487328,-0.00670552,0.0100719,2.04189,5,0.1,4,0.8,1.42757,2.88092,0.562576,-0.593093,-0.382805,0.0227109,-0.295818,-0.190854,0.0113249,0.0128213,0.631079,5,0.1,5,0.8,1.77991,-2.12835,0.573611,-0.351834,0.199217,0.0160113,-0.175476,0.0994205,0.00798702,0.0125551,0.20715,5,0.1,6,0.8,-3.66964,-3.43367,0.647156,0.86602,-0.0408053,-0.0148356,0.000119209,-0.0258684,-0.00941753,0.0093667,2.28532,5,0.1,7,0.8,-3.13517,-0.697337,0.554396,0.866026,-0.101794,0.00571162,0,-0.064522,0.00360608,0.00920129,2.26391,5,0.1,8,0.8,0.0820707,3.68867,0.643808,-0.322802,0.21922,-0.0265747,-0.161029,0.109315,-0.0132322,0.0127585,0.3074,5,0.1,9,0.8,-3.47263,-1.68718,0.508282,0.599927,0.0225544,-0.0261217,0.19002,0.0112653,0.0286102,0.0446587,0.970561,5,0.1
0,0.9,0.597587,-1.22308,0.589736,-0.606861,0.725526,0.00693826,-0.207458,0.248052,0.00236556,0.040575,1.03625,5,0.1,1,0.9,-1.46785,-3.44148,0.623965,-0.118416,0.857404,-0.0155712,-0.049606,-0.170067,-0.00653043,0.0148437,1.6168,5,0.1,2,0.9,-1.1193,1.59349,0.613724,0.532831,0.233483,-0.00923872,-1.07741,-0.0264198,-0.0032708,0.0118894,1.98201,5,0.1,3,0.9,1.82005,3.86007,0.62221,-0.697067,-0.81919,-0.0112903,-0.400394,-0.470459,-0.00648573,0.0100719,2.04189,5,0.1,4,0.9,1.36685,2.84173,0.564901,-0.619899,-0.400099,0.0237369,-0.211895,-0.136703,0.00810996,0.0128213,0.631079,5,0.1,5,0.9,1.74389,-2.10796,0.575251,-0.367735,0.208225,0.0167349,-0.125699,0.0712126,0.0057146,0.0125551,0.20715,5,0.1,6,0.9,-3.58305,-3.43789,0.645623,0.86555,-0.0434779,-0.0158086,-0.018999,-0.0248253,-0.009045,0.0093667,2.28532,5,0.1,7,0.9,-3.04856,-0.707852,0.554986,0.866026,-0.10846,0.0060847,0,-0.061933,0.00347197,0.00920129,2.26391,5,0.1,8,0.9,0.0488658,3.71111,0.641088,-0.341839,0.229126,-0.0277742,-0.19437,0.0782907,-0.00948831,0.0127585,0.3074,5,0.1,9,0.9,-3.41277,-1.68487,0.505841,0.587553,0.0235751,-0.0224605,-0.397831,0.00806153,0.0429899,0.0446587,0.970561,5,0.1
